"Season","Rep","Comparison","Smaller_Model","Larger_Model","Delta_AIC","Chisq","P_Value"
"June",1,"Storm_Agricultural","Storm","Agricultural",-2.8286596592564,1.1713403407436,0.556732631047701
"June",1,"Storm_Site","Storm","Site",2.25476063668987,10.2547606366899,0.0363481120662775
"June",1,"Agricultural_Full","Agricultural","Full",2.48011544551599,10.480115445516,0.0330719995391505
"June",1,"Site_Full","Site","Full",-2.60330485043028,1.39669514956972,0.497406552207789
"June",2,"Storm_Agricultural","Storm","Agricultural",-2.09950522782299,1.90049477217701,0.38664536093872
"June",2,"Storm_Site","Storm","Site",2.92497135594522,10.9249713559452,0.0274203002652589
"June",2,"Agricultural_Full","Agricultural","Full",1.93218272969023,9.93218272969023,0.0415856815440891
"June",2,"Site_Full","Site","Full",-3.09229385407798,0.90770614592202,0.635176050926715
"June",3,"Storm_Agricultural","Storm","Agricultural",-2.6796845156581,1.3203154843419,0.516769811670099
"June",3,"Storm_Site","Storm","Site",-3.9345665549958,4.0654334450042,0.397222819876474
"June",3,"Agricultural_Full","Agricultural","Full",-4.48603995518636,3.51396004481364,0.475758866292747
"June",3,"Site_Full","Site","Full",-3.23115791584866,0.768842084151345,0.680844702555443
"June",4,"Storm_Agricultural","Storm","Agricultural",0.568162965470492,4.56816296547049,0.101867586284643
"June",4,"Storm_Site","Storm","Site",-1.44877535323019,6.55122464676981,0.161591295679897
"June",4,"Agricultural_Full","Agricultural","Full",-3.91436942522012,4.08563057477988,0.394541037848333
"June",4,"Site_Full","Site","Full",-1.89743110651943,2.10256889348057,0.349488561250705
"June",5,"Storm_Agricultural","Storm","Agricultural",-3.36594050790211,0.63405949209789,0.728309090485632
"June",5,"Storm_Site","Storm","Site",-1.81653477042136,6.18346522957864,0.185859528773692
"June",5,"Agricultural_Full","Agricultural","Full",-2.3403938189482,5.6596061810518,0.226052116785329
"June",5,"Site_Full","Site","Full",-3.88979955642895,0.110200443571046,0.946390294275267
"June",6,"Storm_Agricultural","Storm","Agricultural",-3.6318674590155,0.368132540984504,0.831880672858228
"June",6,"Storm_Site","Storm","Site",1.10451062528284,9.10451062528284,0.0585396424932418
"June",6,"Agricultural_Full","Agricultural","Full",0.746336155565814,8.74633615556581,0.0677622255485508
