"Month_Number","Month","frozen","Constituent","Metric","Mean","Standard_Deviation","Site_Months","Events","Lower","Upper"
1,"Jan","Frozen","Suspended sediment","Concentration",63.1982905982906,116.297764116605,39,53,0,179.496054714896
1,"Jan","Frozen","Suspended sediment","Load",75.2819461538461,148.838425399005,39,53,0,224.120371552851
1,"Jan","Frozen","Suspended sediment","Yield",4.5923741025641,8.0249182246759,39,53,0,12.61729232724
1,"Jan","Frozen","Total dissolved solids","Concentration",183.199494949495,158.108684626275,33,45,25.0908103232201,341.30817957577
1,"Jan","Frozen","Total dissolved solids","Load",241.279727272727,331.283469912029,33,45,0,572.563197184757
1,"Jan","Frozen","Total dissolved solids","Yield",14.3941333333333,17.2607833954362,33,45,0,31.6549167287695
1,"Jan","Frozen","Orthophosphate","Concentration",2.24161111111111,3.61312932403246,39,53,0,5.85474043514357
1,"Jan","Frozen","Orthophosphate","Load",2.66070051282051,3.8304109070149,39,53,0,6.49111141983541
1,"Jan","Frozen","Orthophosphate","Yield",0.205447871794872,0.364304764694716,39,53,0,0.569752636489588
1,"Jan","Frozen","Total phosphorus","Concentration",2.70132905982906,4.00428015675872,39,53,0,6.70560921658778
1,"Jan","Frozen","Total phosphorus","Load",3.22515538461538,4.25619585406465,39,53,0,7.48135123868003
1,"Jan","Frozen","Total phosphorus","Yield",0.241227384615385,0.387076452024703,39,53,0,0.628303836640088
2,"Feb","Non-Frozen","Suspended sediment","Concentration",8,0,1,1,8,8
2,"Feb","Non-Frozen","Suspended sediment","Load",3.73,0,1,1,3.73,3.73
2,"Feb","Non-Frozen","Suspended sediment","Yield",0.266,0,1,1,0.266,0.266
2,"Feb","Non-Frozen","Total dissolved solids","Concentration",84,0,1,1,84,84
2,"Feb","Non-Frozen","Total dissolved solids","Load",39.1,0,1,1,39.1,39.1
2,"Feb","Non-Frozen","Total dissolved solids","Yield",2.8,0,1,1,2.8,2.8
2,"Feb","Non-Frozen","Orthophosphate","Concentration",0.192,0,1,1,0.192,0.192
2,"Feb","Non-Frozen","Orthophosphate","Load",0.0894,0,1,1,0.0894,0.0894
2,"Feb","Non-Frozen","Orthophosphate","Yield",0.00639,0,1,1,0.00639,0.00639
2,"Feb","Non-Frozen","Total phosphorus","Concentration",0.277,0,1,1,0.277,0.277
2,"Feb","Non-Frozen","Total phosphorus","Load",0.129,0,1,1,0.129,0.129
2,"Feb","Non-Frozen","Total phosphorus","Yield",0.00922,0,1,1,0.00922,0.00922
2,"Feb","Frozen","Suspended sediment","Concentration",94.2843859649123,448.348286269455,57,107,0,542.632672234367
2,"Feb","Frozen","Suspended sediment","Load",192.033063157895,487.500404236475,57,107,0,679.533467394369
2,"Feb","Frozen","Suspended sediment","Yield",24.2393810526316,122.827643162431,57,107,0,147.067024215062
2,"Feb","Frozen","Total dissolved solids","Concentration",253.413333333333,255.843012982856,30,57,0,509.256346316189
2,"Feb","Frozen","Total dissolved solids","Load",774.7758,1283.08233273786,30,57,0,2057.85813273786
2,"Feb","Frozen","Total dissolved solids","Yield",35.3857706666667,42.9683877109273,30,57,0,78.354158377594
2,"Feb","Frozen","Orthophosphate","Concentration",1.54194152046784,1.98507806929892,57,107,0,3.52701958976676
2,"Feb","Frozen","Orthophosphate","Load",7.66108210526316,19.5997033385485,57,107,0,27.2607854438117
2,"Feb","Frozen","Orthophosphate","Yield",0.363731289473684,0.619345613174768,57,107,0,0.983076902648453
2,"Feb","Frozen","Total phosphorus","Concentration",2.13596637426901,2.66947700395931,57,107,0,4.80544337822831
2,"Feb","Frozen","Total phosphorus","Load",9.92757315789474,24.869964233016,57,107,0,34.7975373909108
