"Metric","Constituent","Month_Number","Month","Driver","Events","Spearman_Rho","P_Value","P_Adjusted"
"Concentration","Suspended sediment",1,"Jan","Runoff depth",53,0.0178751627744594,0.898908599866886,0.898908599866886
"Concentration","Suspended sediment",1,"Jan","Precipitation depth",53,0.164111583205338,0.24029770513399,0.560694645312643
"Concentration","Suspended sediment",1,"Jan","Maximum 30-minute intensity",46,0.0210399497923396,0.889617698486134,0.898908599866886
"Concentration","Suspended sediment",1,"Jan","Seven-day antecedent precipitation",53,0.048689311707455,0.729179851800352,0.898908599866886
"Concentration","Suspended sediment",1,"Jan","Mean slope",53,-0.395836340814323,0.00334752280754187,0.0234326596527931
"Concentration","Suspended sediment",1,"Jan","Perennial crop fraction",53,0.135677025723779,0.332705106318898,0.582233936058072
"Concentration","Suspended sediment",1,"Jan","Tillage passes",51,0.233087799375513,0.0997486303817705,0.349120206336197
"Concentration","Suspended sediment",1,"Jan","Frozen soil",53,,,
"Concentration","Suspended sediment",2,"Feb","Runoff depth",108,0.00564741610088013,0.953742891395961,0.980792329667059
"Concentration","Suspended sediment",2,"Feb","Precipitation depth",108,0.172770692787272,0.0737655372732757,0.404856006972304
"Concentration","Suspended sediment",2,"Feb","Maximum 30-minute intensity",58,0.060988172399027,0.649264020958058,0.883534693052607
"Concentration","Suspended sediment",2,"Feb","Seven-day antecedent precipitation",108,0.138849618567112,0.151821002614614,0.404856006972304
"Concentration","Suspended sediment",2,"Feb","Mean slope",108,0.00234394447691927,0.980792329667059,0.980792329667059
"Concentration","Suspended sediment",2,"Feb","Perennial crop fraction",107,-0.152103002841387,0.117817451853292,0.404856006972304
"Concentration","Suspended sediment",2,"Feb","Tillage passes",101,0.0439349919812395,0.662651019789455,0.883534693052607
"Concentration","Suspended sediment",2,"Feb","Frozen soil",108,0.102381562745062,0.291712046331015,0.583424092662031
"Concentration","Suspended sediment",3,"Mar","Runoff depth",237,0.170138301117485,0.00867608492212044,0.0138817358753927
"Concentration","Suspended sediment",3,"Mar","Precipitation depth",237,0.254907809711666,7.20911888535901e-05,0.00019224317027624
"Concentration","Suspended sediment",3,"Mar","Maximum 30-minute intensity",113,0.409227750876155,6.77987610011125e-06,2.7119504400445e-05
"Concentration","Suspended sediment",3,"Mar","Seven-day antecedent precipitation",237,0.304910526326433,1.72166789695212e-06,1.3773343175617e-05
"Concentration","Suspended sediment",3,"Mar","Mean slope",237,0.0107482700301644,0.869260858962288,0.869260858962288
"Concentration","Suspended sediment",3,"Mar","Perennial crop fraction",235,-0.205813011457455,0.00151257201702513,0.00302514403405027
"Concentration","Suspended sediment",3,"Mar","Tillage passes",225,0.147753336479328,0.0266823763476045,0.0304941443972623
"Concentration","Suspended sediment",3,"Mar","Frozen soil",237,-0.154341789420305,0.0174179568129346,0.0232239424172462
"Concentration","Suspended sediment",4,"Apr","Runoff depth",94,-0.0902056271144006,0.387237084733389,0.44255666826673
"Concentration","Suspended sediment",4,"Apr","Precipitation depth",94,0.149320876209068,0.150884053754737,0.241414486007579
"Concentration","Suspended sediment",4,"Apr","Maximum 30-minute intensity",90,0.375369101115744,0.000266825757190126,0.00213460605752101
"Concentration","Suspended sediment",4,"Apr","Seven-day antecedent precipitation",94,-0.198489560763673,0.0551354561340661,0.110270912268132
"Concentration","Suspended sediment",4,"Apr","Mean slope",94,0.0510199500273169,0.625297323363697,0.625297323363697
"Concentration","Suspended sediment",4,"Apr","Perennial crop fraction",92,-0.313860259330647,0.00231399336727367,0.00925597346909469
"Concentration","Suspended sediment",4,"Apr","Tillage passes",84,0.271273993519186,0.012560008835514,0.0334933568947041
"Concentration","Suspended sediment",4,"Apr","Frozen soil",94,-0.115746706625996,0.26659864680824,0.355464862410986
"Concentration","Suspended sediment",5,"May","Runoff depth",115,0.0469743448120829,0.618120385772033,0.684911689013589
"Concentration","Suspended sediment",5,"May","Precipitation depth",115,0.0382421592027055,0.684911689013589,0.684911689013589
"Concentration","Suspended sediment",5,"May","Maximum 30-minute intensity",115,0.309036422644054,0.000778029035310761,0.00181540108239178
"Concentration","Suspended sediment",5,"May","Seven-day antecedent precipitation",115,-0.0619972425045613,0.510398718159175,0.684911689013589
"Concentration","Suspended sediment",5,"May","Mean slope",115,-0.0966909288266308,0.303960043960548,0.53193007693096
