"Metric","Constituent","Month_Number","Month","Season","Events","Sites","Log10_SD","Log10_IQR","Log10_MAD","Q75_to_Q25_Ratio"
"Concentration","Suspended sediment",1,"Jan","Pre-growing season",53,20,0.64521655648855,0.769007870943774,0.631541242466884,5.875
"Concentration","Suspended sediment",2,"Feb","Pre-growing season",108,24,0.49914035881423,0.468272293181009,0.391465658755603,2.93949207182809
"Concentration","Suspended sediment",3,"Mar","Pre-growing season",237,27,0.745768292642837,0.872828381959408,0.613586378249541,7.46153846153846
"Concentration","Suspended sediment",4,"Apr","Pre-growing season",94,22,0.928685090739886,1.31023544253802,0.977709812514682,20.4284512495984
"Concentration","Suspended sediment",5,"May","Pre-growing season",115,23,0.894731750001148,1.55610107091736,1.13743671762169,35.9833067342358
"Concentration","Suspended sediment",6,"Jun","Growing season",146,25,0.801359409632869,1.10177024712333,0.820359608599198,12.6406744657916
"Concentration","Suspended sediment",7,"Jul","Growing season",92,21,0.778191531624413,0.973151550559354,0.6370069754424,9.40051291809426
"Concentration","Suspended sediment",8,"Aug","Growing season",67,22,0.660161905416385,0.686423318869624,0.511084928151428,4.85761754924632
"Concentration","Suspended sediment",9,"Sep","Growing season",49,16,0.505915323669326,0.765325514798508,0.545309630157594,5.82539682539683
"Concentration","Suspended sediment",10,"Oct","Post-growing season",37,17,0.662724189718478,0.783290890036055,0.619038228276731,6.07142857142857
"Concentration","Suspended sediment",11,"Nov","Post-growing season",18,12,0.752472515245648,1.11180400931343,0.674768861573426,12.9361192174488
"Concentration","Suspended sediment",12,"Dec","Post-growing season",34,26,0.737558192410665,0.763713994441132,0.570035880376116,5.80382079781916
"Concentration","Total dissolved solids",1,"Jan","Pre-growing season",45,19,0.397272327809921,0.552262522965547,0.531027114557496,3.56666666666667
"Concentration","Total dissolved solids",2,"Feb","Pre-growing season",58,16,0.40573395028151,0.482070292891505,0.360860494100689,3.0343822754984
"Concentration","Total dissolved solids",3,"Mar","Pre-growing season",172,17,0.322290818444744,0.375663613960886,0.281602085170956,2.375
"Concentration","Total dissolved solids",4,"Apr","Pre-growing season",73,15,0.306745656055118,0.439845135756269,0.337221264989394,2.75324675324675
"Concentration","Total dissolved solids",5,"May","Pre-growing season",66,17,0.354639123698256,0.445667424916137,0.348279060444612,2.79040617882421
"Concentration","Total dissolved solids",6,"Jun","Growing season",109,19,0.38392838559273,0.356547323513813,0.264470718581365,2.27272727272727
"Concentration","Total dissolved solids",7,"Jul","Growing season",73,16,0.367992400154775,0.37238590419965,0.317098221050577,2.35714285714286
"Concentration","Total dissolved solids",8,"Aug","Growing season",35,15,0.243854127485987,0.233280191096109,0.171678196537914,1.71111891110113
"Concentration","Total dissolved solids",9,"Sep","Growing season",24,9,0.215575977800658,0.24991357763248,0.171343211259077,1.77792557679197
"Concentration","Total dissolved solids",10,"Oct","Post-growing season",13,10,0.336129049768246,0.544068044350276,0.424478371009039,3.5
