"Calendar_Year","Ratio","Sites","Median","Q25","Q75"
2003,"Total phosphorus / suspended sediment",3,4.82993197278912,4.03829931972789,7.22978080120937
2003,"Orthophosphate / suspended sediment",3,1.35374149659864,0.76487074829932,3.44075963718821
2003,"Non-orthophosphate P / suspended sediment",3,3.47619047619048,3.27342857142857,3.78902116402116
2004,"Total phosphorus / suspended sediment",7,13.9086294416244,8.96594333936106,35.8108629721533
2004,"Orthophosphate / suspended sediment",7,9.05583756345178,3.73242087254063,27.0444444444444
2004,"Non-orthophosphate P / suspended sediment",7,5.34,4.89359884234705,8.49162742019885
2005,"Total phosphorus / suspended sediment",7,192.975970425139,51.6565016206806,211.142637369017
2005,"Orthophosphate / suspended sediment",7,104.666666666667,34.8386612528038,206.293365309742
2005,"Non-orthophosphate P / suspended sediment",7,11.87265917603,7.1838995215311,23.3070644151085
2006,"Total phosphorus / suspended sediment",9,27.7261972586213,5.96315618979421,130.306155601393
2006,"Orthophosphate / suspended sediment",9,17.793568013907,1.67658090805244,125.516014234875
2006,"Non-orthophosphate P / suspended sediment",9,5.94263363754889,4.28657528174177,6.13123151287786
2007,"Total phosphorus / suspended sediment",9,80.1242236024845,20.6635071090047,336.964980544747
2007,"Orthophosphate / suspended sediment",9,57.0186335403727,15.7928802588997,257.587548638132
2007,"Non-orthophosphate P / suspended sediment",9,10.3986135181976,4.22211209133368,38.9969293756397
2008,"Total phosphorus / suspended sediment",9,36.8690014294466,22.7561936936937,83.2560588463027
2008,"Orthophosphate / suspended sediment",9,32.9619835273297,14.2474474474474,70.0481610530391
2008,"Non-orthophosphate P / suspended sediment",9,7.02241552358649,4.91909884576399,10.7000259268862
2009,"Total phosphorus / suspended sediment",8,65.9039762639753,21.2301961597264,191.769486206949
2009,"Orthophosphate / suspended sediment",8,48.669985124998,15.4838623858758,147.669042940487
2009,"Non-orthophosphate P / suspended sediment",8,13.2338748348009,7.19616370582334,26.7644557823129
2010,"Total phosphorus / suspended sediment",10,91.9387252982289,32.2281785571941,154.364629781874
2010,"Orthophosphate / suspended sediment",10,58.175821200448,21.9809140804381,135.680348503583
2010,"Non-orthophosphate P / suspended sediment",10,16.1111589725918,7.59693008875847,24.9660517421743
2011,"Total phosphorus / suspended sediment",8,74.6187282860164,16.9340724378838,143.531999109162
2011,"Orthophosphate / suspended sediment",8,53.0110598904286,11.8638296260027,111.4665566931
2011,"Non-orthophosphate P / suspended sediment",8,10.6427564153238,5.64437311095607,19.7080663948748
2012,"Total phosphorus / suspended sediment",5,10.262583198417,6.56455142231948,32.6241134751773
2012,"Orthophosphate / suspended sediment",5,4.95875157402411,1.92122538293217,20.8510638297872
2012,"Non-orthophosphate P / suspended sediment",5,5.00286944045911,4.64332603938731,11.7730496453901
2013,"Total phosphorus / suspended sediment",5,46.3551401869159,5.45973853732474,57.9982780886784
2013,"Orthophosphate / suspended sediment",5,37.196261682243,0.862463054187192,37.3190455691532
2013,"Non-orthophosphate P / suspended sediment",5,11.4363656006914,4.57872478854912,13.9896373056995
2014,"Total phosphorus / suspended sediment",5,15.2173913043478,10.161959583357,16.9565217391304
2014,"Orthophosphate / suspended sediment",5,6.04278908864062,5.98260869565217,9.66244725738397
2014,"Non-orthophosphate P / suspended sediment",5,7.71929824561404,4.11917049471635,9.23478260869565
2015,"Total phosphorus / suspended sediment",7,22.1333333333333,12.7117857353673,40.1782575193396
2015,"Orthophosphate / suspended sediment",7,9.94762655456297,7.20714333355566,28.6097495032411
2015,"Non-orthophosphate P / suspended sediment",7,9.93914807302232,5.27220843487501,11.3708068666732
2016,"Total phosphorus / suspended sediment",7,17.4657427288698,14.4217896979639,54.1798627959214
2016,"Orthophosphate / suspended sediment",7,11.8861798407857,9.00099618261295,39.2692190467259
2016,"Non-orthophosphate P / suspended sediment",7,7.26715901764257,6.55010358094111,9.65217702970864
2017,"Total phosphorus / suspended sediment",9,11.4246906173109,8.89130017652928,21.2018073656964
2017,"Orthophosphate / suspended sediment",9,4.64957672167741,4.34509555606723,14.0543799100858
2017,"Non-orthophosphate P / suspended sediment",9,5.96393897364771,4.47611116251812,7.66023064458427
2018,"Total phosphorus / suspended sediment",6,32.2034937174379,11.0229165980705,43.7269631582783
2018,"Orthophosphate / suspended sediment",6,20.4379905808477,5.04798448304942,32.9727281159113
2018,"Non-orthophosphate P / suspended sediment",6,6.69191357506575,4.13756993994148,8.39090424310177
2019,"Total phosphorus / suspended sediment",9,19.2842566699418,8.55144884683619,63.8926174496644
2019,"Orthophosphate / suspended sediment",9,4.99890921295519,2.24852941176471,31.6684378320935
2019,"Non-orthophosphate P / suspended sediment",9,7.39130434782608,4.41444684425246,8.74313725490196
2020,"Total phosphorus / suspended sediment",9,26.4483970568913,4.55049944506104,39.0585156461934
2020,"Orthophosphate / suspended sediment",9,11.8357595563478,1.7030303030303,20.1414071738274
2020,"Non-orthophosphate P / suspended sediment",9,6.30698988306399,3.81555555555556,16.5781009695754
2021,"Total phosphorus / suspended sediment",9,33.0357142857143,16.5309734513274,297.894736842105
2021,"Orthophosphate / suspended sediment",9,21.1450797036065,11.1504424778761,261.052631578947
2021,"Non-orthophosphate P / suspended sediment",9,15.0510204081633,6.59503592913185,30.110074912093
2022,"Total phosphorus / suspended sediment",8,55.4150938000458,15.0605647579494,100.297054887022
2022,"Orthophosphate / suspended sediment",8,31.4724746567964,9.46153167743694,79.874640895158
2022,"Non-orthophosphate P / suspended sediment",8,7.65090488607438,5.77932051569038,32.4995616726572
2023,"Total phosphorus / suspended sediment",6,43.2053487380449,8.39015721601057,74.071417574067
2023,"Orthophosphate / suspended sediment",6,29.3322772271429,2.19625024615745,58.1195161594148
2023,"Non-orthophosphate P / suspended sediment",6,12.2889033847938,7.0842492713542,17.5360695407605
