"WQ_event_id","Field_Name","Event_Date","Calendar_Year","Month_Number","Month","Season","frozen","Ratio","P_Load_lb","Sediment_Load_lb","P_per_Sediment_lb_per_ton"
1,"AO1",2019-04-17,2019,4,"Apr","Pre-growing season","Frozen","Total phosphorus / suspended sediment",5.99,1200,9.98333333333333
2,"AO1",2019-09-03,2019,9,"Sep","Growing season","Non-Frozen","Total phosphorus / suspended sediment",0.0612,10.2,12
3,"AO1",2020-03-26,2020,3,"Mar","Pre-growing season","Frozen","Total phosphorus / suspended sediment",7.57,556,27.2302158273381
4,"AO1",2020-03-30,2020,3,"Mar","Pre-growing season","Frozen","Total phosphorus / suspended sediment",5.78,1820,6.35164835164835
5,"AO1",2020-05-26,2020,5,"May","Pre-growing season","Non-Frozen","Total phosphorus / suspended sediment",2.7,789,6.84410646387833
6,"AO1",2020-06-20,2020,6,"Jun","Growing season","Non-Frozen","Total phosphorus / suspended sediment",0.991,204,9.7156862745098
7,"AO1",2021-03-09,2021,3,"Mar","Pre-growing season","Frozen","Total phosphorus / suspended sediment",36.5,97.4,749.486652977413
8,"AO1",2021-12-16,2021,12,"Dec","Post-growing season","Frozen","Total phosphorus / suspended sediment",0.256,9.93,51.5609264853978
9,"AO1",2022-03-16,2022,3,"Mar","Pre-growing season","Frozen","Total phosphorus / suspended sediment",10.7,187,114.438502673797
10,"AO1",2023-02-15,2023,2,"Feb","Pre-growing season","Frozen","Total phosphorus / suspended sediment",0.815,21.9,74.4292237442922
11,"AO3",2021-03-11,2021,3,"Mar","Pre-growing season","Frozen","Total phosphorus / suspended sediment",2.34,515,9.0873786407767
12,"AO3",2021-05-25,2021,5,"May","Pre-growing season","Non-Frozen","Total phosphorus / suspended sediment",78.5,51300,3.06042884990253
13,"AO3",2021-05-31,2021,5,"May","Pre-growing season","Non-Frozen","Total phosphorus / suspended sediment",32.4,22500,2.88
14,"AO3",2021-06-09,2021,6,"Jun","Growing season","Non-Frozen","Total phosphorus / suspended sediment",25.6,23400,2.18803418803419
15,"AO3",2021-06-10,2021,6,"Jun","Growing season","Non-Frozen","Total phosphorus / suspended sediment",99.2,103000,1.92621359223301
16,"AO3",2021-06-21,2021,6,"Jun","Growing season","Non-Frozen","Total phosphorus / suspended sediment",8.03,8220,1.95377128953771
17,"AO3",2021-07-06,2021,7,"Jul","Growing season","Non-Frozen","Total phosphorus / suspended sediment",8.36,4990,3.35070140280561
18,"AO3",2021-07-20,2021,7,"Jul","Growing season","Non-Frozen","Total phosphorus / suspended sediment",4.3,2100,4.09523809523809
19,"AO3",2021-08-08,2021,8,"Aug","Growing season","Non-Frozen","Total phosphorus / suspended sediment",10.5,5820,3.60824742268041
20,"AO3",2021-08-11,2021,8,"Aug","Growing season","Non-Frozen","Total phosphorus / suspended sediment",3.3,1470,4.48979591836735
21,"AO3",2021-09-21,2021,9,"Sep","Growing season","Non-Frozen","Total phosphorus / suspended sediment",9.25,4580,4.03930131004367
22,"AO3",2021-12-16,2021,12,"Dec","Post-growing season","Frozen","Total phosphorus / suspended sediment",0.262,113,4.63716814159292
23,"AO3",2022-03-17,2022,3,"Mar","Pre-growing season","Frozen","Total phosphorus / suspended sediment",1.6,436,7.3394495412844
24,"AO3",2022-04-12,2022,4,"Apr","Pre-growing season","Frozen","Total phosphorus / suspended sediment",31.8,16100,3.95031055900621
25,"AO3",2022-04-20,2022,4,"Apr","Pre-growing season","Non-Frozen","Total phosphorus / suspended sediment",2.34,681,6.87224669603524
26,"AO3",2022-04-30,2022,4,"Apr","Pre-growing season","Non-Frozen","Total phosphorus / suspended sediment",2.49,825,6.03636363636364
27,"AO3",2022-05-12,2022,5,"May","Pre-growing season","Non-Frozen","Total phosphorus / suspended sediment",3.08,1340,4.59701492537313
28,"AO3",2022-05-20,2022,5,"May","Pre-growing season","Non-Frozen","Total phosphorus / suspended sediment",30.7,15100,4.06622516556291
29,"AO3",2022-06-15,2022,6,"Jun","Growing season","Non-Frozen","Total phosphorus / suspended sediment",5.74,6430,1.78538102643857
30,"AO3",2022-08-07,2022,8,"Aug","Growing season","Non-Frozen","Total phosphorus / suspended sediment",15.6,8180,3.81418092909535
