"Field_Name","Calendar_Year","Month_Number","Month","Season","Ratio","Events","Median_lb_P_per_ton_sediment"
"AO1",2019,4,"Apr","Pre-growing season","Total phosphorus / suspended sediment",1,9.98333333333333
"AO1",2019,4,"Apr","Pre-growing season","Orthophosphate / suspended sediment",1,1.85
"AO1",2019,4,"Apr","Pre-growing season","Non-orthophosphate P / suspended sediment",1,8.13333333333333
"AO1",2019,9,"Sep","Growing season","Total phosphorus / suspended sediment",1,12
"AO1",2019,9,"Sep","Growing season","Orthophosphate / suspended sediment",1,2.64705882352941
"AO1",2019,9,"Sep","Growing season","Non-orthophosphate P / suspended sediment",1,9.35294117647059
"AO1",2020,3,"Mar","Pre-growing season","Total phosphorus / suspended sediment",2,16.7909320894932
"AO1",2020,3,"Mar","Pre-growing season","Orthophosphate / suspended sediment",2,12.5481856273223
"AO1",2020,3,"Mar","Pre-growing season","Non-orthophosphate P / suspended sediment",2,4.24274646217092
"AO1",2020,5,"May","Pre-growing season","Total phosphorus / suspended sediment",1,6.84410646387833
"AO1",2020,5,"May","Pre-growing season","Orthophosphate / suspended sediment",1,0.423320659062104
"AO1",2020,5,"May","Pre-growing season","Non-orthophosphate P / suspended sediment",1,6.42078580481622
"AO1",2020,6,"Jun","Growing season","Total phosphorus / suspended sediment",1,9.7156862745098
"AO1",2020,6,"Jun","Growing season","Orthophosphate / suspended sediment",1,2.88235294117647
"AO1",2020,6,"Jun","Growing season","Non-orthophosphate P / suspended sediment",1,6.83333333333333
"AO1",2021,3,"Mar","Pre-growing season","Total phosphorus / suspended sediment",1,749.486652977413
"AO1",2021,3,"Mar","Pre-growing season","Orthophosphate / suspended sediment",1,698.151950718686
"AO1",2021,3,"Mar","Pre-growing season","Non-orthophosphate P / suspended sediment",1,51.3347022587269
"AO1",2021,12,"Dec","Post-growing season","Total phosphorus / suspended sediment",1,51.5609264853978
"AO1",2021,12,"Dec","Post-growing season","Orthophosphate / suspended sediment",1,33.8368580060423
