"Field_Name","Hydrologic_Group","Constituent","Metric","Events","Mean","Standard_Deviation","Median"
"AO1","High-infiltration","Suspended sediment","Concentration",10,636,1309.26388478412,93
"AO1","High-infiltration","Suspended sediment","Load",10,489.543,612.307795367475,195.5
"AO1","High-infiltration","Suspended sediment","Yield",10,22.0389,27.5763709176695,8.805
"AO1","High-infiltration","Total dissolved solids","Concentration",0,,0,
"AO1","High-infiltration","Total dissolved solids","Load",0,,0,
"AO1","High-infiltration","Total dissolved solids","Yield",0,,0,
"AO1","High-infiltration","Orthophosphate","Concentration",10,0.7302,0.663766993923487,0.411
"AO1","High-infiltration","Orthophosphate","Load",10,5.25415,10.4437951277036,0.8795
"AO1","High-infiltration","Orthophosphate","Yield",10,0.2365006,0.469980014638022,0.03955
"AO1","High-infiltration","Total phosphorus","Concentration",10,3.0153,4.58859850426395,0.8135
"AO1","High-infiltration","Total phosphorus","Load",10,7.13632,10.9192406940735,4.24
"AO1","High-infiltration","Total phosphorus","Yield",10,0.321166,0.490672354138233,0.191
"AO3","High-infiltration","Suspended sediment","Concentration",28,9777.58928571429,15581.7317818095,5010
"AO3","High-infiltration","Suspended sediment","Load",28,10191.2142857143,21216.6915149669,2190
"AO3","High-infiltration","Suspended sediment","Yield",28,454.316785714286,944.225515455621,97.85
"AO3","High-infiltration","Total dissolved solids","Concentration",0,,0,
"AO3","High-infiltration","Total dissolved solids","Load",0,,0,
"AO3","High-infiltration","Total dissolved solids","Yield",0,,0,
"AO3","High-infiltration","Orthophosphate","Concentration",28,0.167142857142857,0.152841412432944,0.134
"AO3","High-infiltration","Orthophosphate","Load",28,0.36305,1.1143103359544,0.09185
"AO3","High-infiltration","Orthophosphate","Yield",28,0.0162241428571429,0.0498562502844255,0.0041
"AO3","High-infiltration","Total phosphorus","Concentration",28,14.501,17.9438098332916,10.2
"AO3","High-infiltration","Total phosphorus","Load",28,14.6446785714286,23.2330667704357,6.305
"AO3","High-infiltration","Total phosphorus","Yield",28,0.653760714285714,1.03697253949115,0.2815
"AR1","High-infiltration","Suspended sediment","Concentration",47,304.240425531915,451.171949125913,123
"AR1","High-infiltration","Suspended sediment","Load",47,249.976234042553,492.941961151756,50.5
"AR1","High-infiltration","Suspended sediment","Yield",47,13.5173561702128,26.6724748149821,2.73
"AR1","High-infiltration","Total dissolved solids","Concentration",14,47.25,51.2905561857751,29
"AR1","High-infiltration","Total dissolved solids","Load",14,14.9528571428571,22.0748535768544,7.145
"AR1","High-infiltration","Total dissolved solids","Yield",14,0.808028571428571,1.19327124225065,0.386
"AR1","High-infiltration","Orthophosphate","Concentration",47,0.605787234042553,0.681592028178856,0.387
"AR1","High-infiltration","Orthophosphate","Load",47,0.554362127659574,1.18523604036594,0.173
"AR1","High-infiltration","Orthophosphate","Yield",47,0.0299693191489362,0.0640787335797029,0.00937
"AR1","High-infiltration","Total phosphorus","Concentration",47,1.28587234042553,0.964873490626605,1.08
"AR1","High-infiltration","Total phosphorus","Load",47,1.31364425531915,2.10932625507452,0.427
"AR1","High-infiltration","Total phosphorus","Yield",47,0.0710734042553191,0.11420692490743,0.0231
"AR2","High-infiltration","Suspended sediment","Concentration",24,5647.74166666667,8413.75307157827,794.5
"AR2","High-infiltration","Suspended sediment","Load",24,1437.882675,2922.75959767761,94.65
"AR2","High-infiltration","Suspended sediment","Yield",24,248.05422,504.806938210587,16.35
"AR2","High-infiltration","Total dissolved solids","Concentration",13,146.953846153846,138.846057532462,104
"AR2","High-infiltration","Total dissolved solids","Load",13,32.5530769230769,36.7044782428101,17.6
"AR2","High-infiltration","Total dissolved solids","Yield",13,5.60415384615385,6.31001534396119,3.03
"AR2","High-infiltration","Orthophosphate","Concentration",24,1.40808333333333,1.93720443841942,0.8315
"AR2","High-infiltration","Orthophosphate","Load",24,0.477579583333333,0.937003551106812,0.1235
"AR2","High-infiltration","Orthophosphate","Yield",24,0.0823745833333333,0.161571211893896,0.02135
"AR2","High-infiltration","Total phosphorus","Concentration",24,7.15608333333333,6.52314143390029,6.715
"AR2","High-infiltration","Total phosphorus","Load",24,1.90425416666667,2.3349224120764,1.261
"AR2","High-infiltration","Total phosphorus","Yield",24,0.328698333333333,0.404146810654642,0.2175
"H3","Moderate-infiltration","Suspended sediment","Concentration",21,2570.61904761905,4890.53932931932,106
"H3","Moderate-infiltration","Suspended sediment","Load",21,132.96619047619,251.030147422101,27.6
"H3","Moderate-infiltration","Suspended sediment","Yield",21,8.41069047619048,15.8791212416779,1.75
"H3","Moderate-infiltration","Total dissolved solids","Concentration",19,316.473684210526,459.219430534159,160
"H3","Moderate-infiltration","Total dissolved solids","Load",19,222.462842105263,328.046114851295,29.8
"H3","Moderate-infiltration","Total dissolved solids","Yield",19,14.0831684210526,20.7679601397081,1.88
"H3","Moderate-infiltration","Orthophosphate","Concentration",21,1.48733333333333,2.0765749524959,0.916
"H3","Moderate-infiltration","Orthophosphate","Load",21,1.38691928571429,2.50052475267795,0.222
"H3","Moderate-infiltration","Orthophosphate","Yield",21,0.0877602285714286,0.158243940674154,0.014
"H3","Moderate-infiltration","Total phosphorus","Concentration",21,4.92,5.82517896720779,2.76
"H3","Moderate-infiltration","Total phosphorus","Load",21,2.08553333333333,3.34515601150878,0.463
"H3","Moderate-infiltration","Total phosphorus","Yield",21,0.13216980952381,0.212175525456547,0.0293
"JF2","High-infiltration","Suspended sediment","Concentration",25,867.196,990.840069705164,522
"JF2","High-infiltration","Suspended sediment","Load",25,325.68808,565.091842956739,82.7
"JF2","High-infiltration","Suspended sediment","Yield",25,20.361968,35.3527247650225,5.17
"JF2","High-infiltration","Total dissolved solids","Concentration",25,196.04,144.676213202678,144
"JF2","High-infiltration","Total dissolved solids","Load",25,107.14428,132.794847665964,61
"JF2","High-infiltration","Total dissolved solids","Yield",25,6.6959764,8.29651989439492,3.81
"JF2","High-infiltration","Orthophosphate","Concentration",25,2.59556,2.26829541506392,1.85
"JF2","High-infiltration","Orthophosphate","Load",25,1.4298096,2.00987106126131,0.661
"JF2","High-infiltration","Orthophosphate","Yield",25,0.08937712,0.125686581343674,0.0413
"JF2","High-infiltration","Total phosphorus","Concentration",25,5.73404,6.657768410411,3.58
"JF2","High-infiltration","Total phosphorus","Load",25,2.81058,4.20323308725954,0.952
"JF2","High-infiltration","Total phosphorus","Yield",25,0.17555672,0.262125825129288,0.0595
"JF4","Moderate-infiltration","Suspended sediment","Concentration",55,226.369090909091,551.887174081646,39
"JF4","Moderate-infiltration","Suspended sediment","Load",55,160.164923636364,300.486228184576,25.8
"JF4","Moderate-infiltration","Suspended sediment","Yield",55,11.4381563636364,21.4315373817398,1.84
"JF4","Moderate-infiltration","Total dissolved solids","Concentration",55,102.445454545455,73.4602483034742,83
"JF4","Moderate-infiltration","Total dissolved solids","Load",55,86.6829090909091,112.41314139391,39.1
"JF4","Moderate-infiltration","Total dissolved solids","Yield",55,6.19476363636364,8.02869816706995,2.8
"JF4","Moderate-infiltration","Orthophosphate","Concentration",55,0.859363636363636,1.0168306855606,0.538
"JF4","Moderate-infiltration","Orthophosphate","Load",55,0.747308,1.11434855076923,0.3
"JF4","Moderate-infiltration","Orthophosphate","Yield",55,0.0533512545454545,0.0795612784928415,0.0214
"JF4","Moderate-infiltration","Total phosphorus","Concentration",55,1.41536363636364,1.44310532409488,0.96
"JF4","Moderate-infiltration","Total phosphorus","Load",55,1.22031018181818,1.6931506627187,0.527
"JF4","Moderate-infiltration","Total phosphorus","Yield",55,0.0871404,0.120915679847968,0.0376
"JF5","High-infiltration","Suspended sediment","Concentration",41,1613.3,2861.63208064908,337
"JF5","High-infiltration","Suspended sediment","Load",41,3230.83060243902,8149.36537580481,77.8
"JF5","High-infiltration","Suspended sediment","Yield",41,96.8132626829268,244.269622119446,2.33
"JF5","High-infiltration","Total dissolved solids","Concentration",41,124.907317073171,78.0198833318914,108
"JF5","High-infiltration","Total dissolved solids","Load",41,119.203365853659,188.353074006075,30.4
