"Variable_Y","Variable_X","Correlation","Pairwise_Events","Metric"
"Suspended sediment","Suspended sediment",1,1050,"Concentration"
"Dissolved solids","Suspended sediment",0.00362127013466547,694,"Concentration"
"Orthophosphate","Suspended sediment",-0.211012990507898,1050,"Concentration"
"Total phosphorus","Suspended sediment",0.475886309405977,1050,"Concentration"
"Runoff depth","Suspended sediment",-0.0639687733765061,1050,"Concentration"
"Precipitation depth","Suspended sediment",0.440840720664563,1050,"Concentration"
"Suspended sediment","Dissolved solids",0.00362127013466547,694,"Concentration"
"Dissolved solids","Dissolved solids",1,694,"Concentration"
"Orthophosphate","Dissolved solids",0.422701488286046,694,"Concentration"
"Total phosphorus","Dissolved solids",0.416516769301752,694,"Concentration"
"Runoff depth","Dissolved solids",0.0382432316681025,694,"Concentration"
"Precipitation depth","Dissolved solids",-0.119873496981119,694,"Concentration"
"Suspended sediment","Orthophosphate",-0.211012990507898,1050,"Concentration"
"Dissolved solids","Orthophosphate",0.422701488286046,694,"Concentration"
"Orthophosphate","Orthophosphate",1,1050,"Concentration"
"Total phosphorus","Orthophosphate",0.553023671725177,1050,"Concentration"
"Runoff depth","Orthophosphate",-0.140905504751659,1050,"Concentration"
"Precipitation depth","Orthophosphate",-0.104858997279805,1050,"Concentration"
"Suspended sediment","Total phosphorus",0.475886309405977,1050,"Concentration"
"Dissolved solids","Total phosphorus",0.416516769301752,694,"Concentration"
"Orthophosphate","Total phosphorus",0.553023671725177,1050,"Concentration"
"Total phosphorus","Total phosphorus",1,1050,"Concentration"
"Runoff depth","Total phosphorus",-0.076936602872752,1050,"Concentration"
"Precipitation depth","Total phosphorus",0.0736688627562328,1050,"Concentration"
"Suspended sediment","Runoff depth",-0.0639687733765061,1050,"Concentration"
"Dissolved solids","Runoff depth",0.0382432316681025,694,"Concentration"
"Orthophosphate","Runoff depth",-0.140905504751659,1050,"Concentration"
"Total phosphorus","Runoff depth",-0.076936602872752,1050,"Concentration"
"Runoff depth","Runoff depth",1,1050,"Concentration"
"Precipitation depth","Runoff depth",0.196442372475891,1050,"Concentration"
"Suspended sediment","Precipitation depth",0.440840720664563,1050,"Concentration"
"Dissolved solids","Precipitation depth",-0.119873496981119,694,"Concentration"
"Orthophosphate","Precipitation depth",-0.104858997279805,1050,"Concentration"
"Total phosphorus","Precipitation depth",0.0736688627562328,1050,"Concentration"
"Runoff depth","Precipitation depth",0.196442372475891,1050,"Concentration"
"Precipitation depth","Precipitation depth",1,1050,"Concentration"
"Suspended sediment","Suspended sediment",1,1050,"Load"
"Dissolved solids","Suspended sediment",0.563540156184853,694,"Load"
"Orthophosphate","Suspended sediment",0.412836261569057,1050,"Load"
"Total phosphorus","Suspended sediment",0.752184013872916,1050,"Load"
"Runoff depth","Suspended sediment",0.541612644875934,1050,"Load"
"Precipitation depth","Suspended sediment",0.409034059968981,1050,"Load"
"Suspended sediment","Dissolved solids",0.563540156184853,694,"Load"
"Dissolved solids","Dissolved solids",1,694,"Load"
"Orthophosphate","Dissolved solids",0.821913294175667,694,"Load"
"Total phosphorus","Dissolved solids",0.850098953129665,694,"Load"
"Runoff depth","Dissolved solids",0.842828904805759,694,"Load"
"Precipitation depth","Dissolved solids",0.110335733721295,694,"Load"
"Suspended sediment","Orthophosphate",0.412836261569057,1050,"Load"
"Dissolved solids","Orthophosphate",0.821913294175667,694,"Load"
"Orthophosphate","Orthophosphate",1,1050,"Load"
"Total phosphorus","Orthophosphate",0.836297433259349,1050,"Load"
"Runoff depth","Orthophosphate",0.651114410804111,1050,"Load"
"Precipitation depth","Orthophosphate",0.0882805208212081,1050,"Load"
"Suspended sediment","Total phosphorus",0.752184013872916,1050,"Load"
"Dissolved solids","Total phosphorus",0.850098953129665,694,"Load"
"Orthophosphate","Total phosphorus",0.836297433259349,1050,"Load"
"Total phosphorus","Total phosphorus",1,1050,"Load"
"Runoff depth","Total phosphorus",0.716657766532025,1050,"Load"
"Precipitation depth","Total phosphorus",0.185588436669661,1050,"Load"
"Suspended sediment","Runoff depth",0.541612644875934,1050,"Load"
"Dissolved solids","Runoff depth",0.842828904805759,694,"Load"
"Orthophosphate","Runoff depth",0.651114410804111,1050,"Load"
"Total phosphorus","Runoff depth",0.716657766532025,1050,"Load"
"Runoff depth","Runoff depth",1,1050,"Load"
"Precipitation depth","Runoff depth",0.196442372475891,1050,"Load"
"Suspended sediment","Precipitation depth",0.409034059968981,1050,"Load"
"Dissolved solids","Precipitation depth",0.110335733721295,694,"Load"
"Orthophosphate","Precipitation depth",0.0882805208212081,1050,"Load"
"Total phosphorus","Precipitation depth",0.185588436669661,1050,"Load"
"Runoff depth","Precipitation depth",0.196442372475891,1050,"Load"
"Precipitation depth","Precipitation depth",1,1050,"Load"
"Suspended sediment","Suspended sediment",1,1050,"Yield"
"Dissolved solids","Suspended sediment",0.556202583720059,694,"Yield"
"Orthophosphate","Suspended sediment",0.378151715566272,1050,"Yield"
"Total phosphorus","Suspended sediment",0.738897976383278,1050,"Yield"
"Runoff depth","Suspended sediment",0.621432168713219,1050,"Yield"
"Precipitation depth","Suspended sediment",0.425432551782606,1050,"Yield"
"Suspended sediment","Dissolved solids",0.556202583720059,694,"Yield"
"Dissolved solids","Dissolved solids",1,694,"Yield"
"Orthophosphate","Dissolved solids",0.834369303598865,694,"Yield"
"Total phosphorus","Dissolved solids",0.857050329038295,694,"Yield"
"Runoff depth","Dissolved solids",0.893304407802465,694,"Yield"
"Precipitation depth","Dissolved solids",0.103914646432937,694,"Yield"
"Suspended sediment","Orthophosphate",0.378151715566272,1050,"Yield"
"Dissolved solids","Orthophosphate",0.834369303598865,694,"Yield"
"Orthophosphate","Orthophosphate",1,1050,"Yield"
"Total phosphorus","Orthophosphate",0.817519249391055,1050,"Yield"
"Runoff depth","Orthophosphate",0.763851776558404,1050,"Yield"
"Precipitation depth","Orthophosphate",0.0946028458627613,1050,"Yield"
"Suspended sediment","Total phosphorus",0.738897976383278,1050,"Yield"
"Dissolved solids","Total phosphorus",0.857050329038295,694,"Yield"
"Orthophosphate","Total phosphorus",0.817519249391055,1050,"Yield"
"Total phosphorus","Total phosphorus",1,1050,"Yield"
"Runoff depth","Total phosphorus",0.826608372511068,1050,"Yield"
"Precipitation depth","Total phosphorus",0.197615654440014,1050,"Yield"
"Suspended sediment","Runoff depth",0.621432168713219,1050,"Yield"
"Dissolved solids","Runoff depth",0.893304407802465,694,"Yield"
"Orthophosphate","Runoff depth",0.763851776558404,1050,"Yield"
"Total phosphorus","Runoff depth",0.826608372511068,1050,"Yield"
"Runoff depth","Runoff depth",1,1050,"Yield"
"Precipitation depth","Runoff depth",0.196442372475891,1050,"Yield"
"Suspended sediment","Precipitation depth",0.425432551782606,1050,"Yield"
"Dissolved solids","Precipitation depth",0.103914646432937,694,"Yield"
"Orthophosphate","Precipitation depth",0.0946028458627613,1050,"Yield"
"Total phosphorus","Precipitation depth",0.197615654440014,1050,"Yield"
"Runoff depth","Precipitation depth",0.196442372475891,1050,"Yield"
"Precipitation depth","Precipitation depth",1,1050,"Yield"
