"Metric","Constituent","Season","Driver","Events","Spearman_Rho","P_Value","P_Adjusted"
"Concentration","Suspended sediment","Pre-growing season","Runoff depth",607,0.0170377800363196,0.675266376426038,0.771733001629758
"Concentration","Suspended sediment","Pre-growing season","Precipitation depth",607,0.233459942354497,5.86353862677387e-09,2.34541545070955e-08
"Concentration","Suspended sediment","Pre-growing season","Maximum 30-minute intensity",422,0.220866498283858,4.64063804312658e-06,9.28127608625316e-06
"Concentration","Suspended sediment","Pre-growing season","Seven-day antecedent precipitation",607,0.194168571538889,1.43639086882692e-06,3.83037565020511e-06
"Concentration","Suspended sediment","Pre-growing season","Mean slope",607,0.0601708226494062,0.138676679395027,0.184902239193369
"Concentration","Suspended sediment","Pre-growing season","Perennial crop fraction",602,-0.00739158443152528,0.856380801489854,0.856380801489854
"Concentration","Suspended sediment","Pre-growing season","Tillage passes",571,0.0937232250206812,0.0251170874099177,0.0401873398558683
"Concentration","Suspended sediment","Pre-growing season","Frozen soil",607,-0.270576286347218,1.20670998672008e-11,9.65367989376062e-11
"Concentration","Suspended sediment","Growing season","Runoff depth",354,0.0702793387821296,0.187084585154882,0.261918419216835
"Concentration","Suspended sediment","Growing season","Precipitation depth",354,-0.0725124502710349,0.173424945998675,0.261918419216835
"Concentration","Suspended sediment","Growing season","Maximum 30-minute intensity",352,-0.0609668937626309,0.253939324113515,0.296262544799101
"Concentration","Suspended sediment","Growing season","Seven-day antecedent precipitation",354,-0.0882858262840282,0.097226120749898,0.226860948416429
"Concentration","Suspended sediment","Growing season","Mean slope",354,0.0346962560101961,0.515244524012888,0.515244524012888
"Concentration","Suspended sediment","Growing season","Perennial crop fraction",352,0.125013071473999,0.0189597186215843,0.0663590151755451
"Concentration","Suspended sediment","Growing season","Tillage passes",331,0.148023839534289,0.00698105168342587,0.0488673617839811
"Concentration","Suspended sediment","Growing season","Frozen soil",354,,,
"Concentration","Suspended sediment","Post-growing season","Runoff depth",89,0.0310530191214927,0.772671745274332,0.970752217085517
"Concentration","Suspended sediment","Post-growing season","Precipitation depth",89,-0.045383924653275,0.672794216411982,0.970752217085517
"Concentration","Suspended sediment","Post-growing season","Maximum 30-minute intensity",86,-0.120327034527247,0.26978677042117,0.719431387789787
"Concentration","Suspended sediment","Post-growing season","Seven-day antecedent precipitation",89,-0.064408674803694,0.548730462954697,0.970752217085517
"Concentration","Suspended sediment","Post-growing season","Mean slope",89,0.226716508566664,0.0326380732282081,0.161841408912267
"Concentration","Suspended sediment","Post-growing season","Perennial crop fraction",86,-0.221440525526454,0.0404603522280667,0.161841408912267
"Concentration","Suspended sediment","Post-growing season","Tillage passes",67,0.0228585998017235,0.854320581351449,0.970752217085517
"Concentration","Suspended sediment","Post-growing season","Frozen soil",89,0.00394218330983645,0.970752217085517,0.970752217085517
"Concentration","Total dissolved solids","Pre-growing season","Runoff depth",414,-0.104721705941469,0.0331559896297159,0.0884159723459091
"Concentration","Total dissolved solids","Pre-growing season","Precipitation depth",414,-0.0131845387035092,0.789110239359118,0.789110239359118
"Concentration","Total dissolved solids","Pre-growing season","Maximum 30-minute intensity",273,0.078845488876425,0.194017194854282,0.388034389708563
"Concentration","Total dissolved solids","Pre-growing season","Seven-day antecedent precipitation",414,-0.0418211915580364,0.396029370594868,0.597472111900897
"Concentration","Total dissolved solids","Pre-growing season","Mean slope",414,-0.158351053898949,0.00122650027403707,0.00490600109614829
"Concentration","Total dissolved solids","Pre-growing season","Perennial crop fraction",414,-0.0373821462821311,0.448104083925673,0.597472111900897
"Concentration","Total dissolved solids","Pre-growing season","Tillage passes",383,0.16513661805425,0.00118062525649,0.00490600109614829
"Concentration","Total dissolved solids","Pre-growing season","Frozen soil",414,0.0291224895449441,0.554594972312842,0.633822825500391
"Concentration","Total dissolved solids","Growing season","Runoff depth",241,0.077784765097225,0.228941590979877,0.267098522809856
"Concentration","Total dissolved solids","Growing season","Precipitation depth",241,0.0920704244341361,0.154181943124636,0.267098522809856
"Concentration","Total dissolved solids","Growing season","Maximum 30-minute intensity",239,0.0828249995892582,0.201982482094263,0.267098522809856
"Concentration","Total dissolved solids","Growing season","Seven-day antecedent precipitation",241,-0.0780593009950434,0.227297784159382,0.267098522809856
"Concentration","Total dissolved solids","Growing season","Mean slope",241,-0.0269738940692749,0.676937253452655,0.676937253452655
"Concentration","Total dissolved solids","Growing season","Perennial crop fraction",241,0.345156782944144,3.78971610044366e-08,2.65280127031056e-07
"Concentration","Total dissolved solids","Growing season","Tillage passes",220,0.160436588939389,0.017239918527222,0.060339714845277
"Concentration","Total dissolved solids","Growing season","Frozen soil",241,,,
"Concentration","Total dissolved solids","Post-growing season","Runoff depth",39,-0.108748486183805,0.509897776527519,0.679863702036693
"Concentration","Total dissolved solids","Post-growing season","Precipitation depth",39,-0.0193437311099381,0.906953533672261,0.935681901546131
"Concentration","Total dissolved solids","Post-growing season","Maximum 30-minute intensity",37,0.185194225575145,0.272486395474211,0.544972790948423
"Concentration","Total dissolved solids","Post-growing season","Seven-day antecedent precipitation",39,0.27849443347137,0.0860229383407,0.301097793036131
"Concentration","Total dissolved solids","Post-growing season","Mean slope",39,-0.0133560516386873,0.935681901546131,0.935681901546131
"Concentration","Total dissolved solids","Post-growing season","Perennial crop fraction",36,0.268804373372274,0.112911672388549,0.301097793036131
"Concentration","Total dissolved solids","Post-growing season","Tillage passes",25,-0.431116505209153,0.031427532684724,0.251420261477792
"Concentration","Total dissolved solids","Post-growing season","Frozen soil",39,-0.152291244785122,0.354690472153836,0.567504755446137
"Concentration","Orthophosphate","Pre-growing season","Runoff depth",607,0.131483070090837,0.00116699803511106,0.00933598428088845
"Concentration","Orthophosphate","Pre-growing season","Precipitation depth",607,0.0300797503508263,0.459466415491781,0.976460796995952
"Concentration","Orthophosphate","Pre-growing season","Maximum 30-minute intensity",422,-0.0154920371909726,0.75099898046143,0.976460796995952
"Concentration","Orthophosphate","Pre-growing season","Seven-day antecedent precipitation",607,-0.0119878551760581,0.76818408324957,0.976460796995952
"Concentration","Orthophosphate","Pre-growing season","Mean slope",607,-0.0785442886461525,0.0530977975998656,0.212391190399462
"Concentration","Orthophosphate","Pre-growing season","Perennial crop fraction",602,-0.00697999865322246,0.864298301069558,0.976460796995952
"Concentration","Orthophosphate","Pre-growing season","Tillage passes",571,0.00123751143904208,0.976460796995952,0.976460796995952
"Concentration","Orthophosphate","Pre-growing season","Frozen soil",607,-0.0112115867030958,0.78280668314716,0.976460796995952
"Concentration","Orthophosphate","Growing season","Runoff depth",354,0.235928691770535,7.23117361966075e-06,2.53091076688126e-05
"Concentration","Orthophosphate","Growing season","Precipitation depth",354,0.0300909559122126,0.572561308337754,0.610056571672533
"Concentration","Orthophosphate","Growing season","Maximum 30-minute intensity",352,-0.0272746596421094,0.610056571672533,0.610056571672533
"Concentration","Orthophosphate","Growing season","Seven-day antecedent precipitation",354,-0.183572444011351,0.000518093781585543,0.00120888549036627
"Concentration","Orthophosphate","Growing season","Mean slope",354,-0.0442836099107286,0.406170328200507,0.56863845948071
"Concentration","Orthophosphate","Growing season","Perennial crop fraction",352,0.246304957956016,2.91243126617343e-06,2.0387018863214e-05
"Concentration","Orthophosphate","Growing season","Tillage passes",331,0.116877188919244,0.0335332388804118,0.0586831680407207
"Concentration","Orthophosphate","Growing season","Frozen soil",354,,,
"Concentration","Orthophosphate","Post-growing season","Runoff depth",89,-0.0937707485690861,0.382088932004877,0.747263625257598
"Concentration","Orthophosphate","Post-growing season","Precipitation depth",89,-0.155619499090381,0.14532480274623,0.387532807323279
"Concentration","Orthophosphate","Post-growing season","Maximum 30-minute intensity",86,-0.207907181978456,0.0547462245370634,0.218984898148253
"Concentration","Orthophosphate","Post-growing season","Seven-day antecedent precipitation",89,-0.0698973517300562,0.515120544657815,0.747263625257598
"Concentration","Orthophosphate","Post-growing season","Mean slope",89,-0.0625341710747258,0.560447718943199,0.747263625257598
"Concentration","Orthophosphate","Post-growing season","Perennial crop fraction",86,-0.226999534183608,0.0355686449169814,0.218984898148253
"Concentration","Orthophosphate","Post-growing season","Tillage passes",67,-0.0377089624264449,0.761920158817763,0.858130237168116
"Concentration","Orthophosphate","Post-growing season","Frozen soil",89,0.0192178982478492,0.858130237168116,0.858130237168116
"Concentration","Total phosphorus","Pre-growing season","Runoff depth",607,0.0585709880380178,0.149500468554072,0.398667916144192
"Concentration","Total phosphorus","Pre-growing season","Precipitation depth",607,-0.0209951878211373,0.6056749974205,0.819669002898462
"Concentration","Total phosphorus","Pre-growing season","Maximum 30-minute intensity",422,-0.00156624095911275,0.974408805387544,0.974408805387544
"Concentration","Total phosphorus","Pre-growing season","Seven-day antecedent precipitation",607,0.0176598132277184,0.66412260740265,0.819669002898462
"Concentration","Total phosphorus","Pre-growing season","Mean slope",607,-0.0260796903821765,0.521315035889307,0.819669002898462
"Concentration","Total phosphorus","Pre-growing season","Perennial crop fraction",602,-0.0147916799982607,0.717210377536154,0.819669002898462
"Concentration","Total phosphorus","Pre-growing season","Tillage passes",571,0.0611074887824017,0.144740294185362,0.398667916144192
"Concentration","Total phosphorus","Pre-growing season","Frozen soil",607,-0.06903468381655,0.0892523197361144,0.398667916144192
"Concentration","Total phosphorus","Growing season","Runoff depth",354,0.159718765758469,0.00257970164269114,0.00647046898986015
"Concentration","Total phosphorus","Growing season","Precipitation depth",354,0.0707759821169408,0.183980295284716,0.257572413398603
"Concentration","Total phosphorus","Growing season","Maximum 30-minute intensity",352,0.0559656336146499,0.295056047124458,0.295056047124458
"Concentration","Total phosphorus","Growing season","Seven-day antecedent precipitation",354,-0.056538927016713,0.288753541435622,0.295056047124458
"Concentration","Total phosphorus","Growing season","Mean slope",354,-0.0882166125454277,0.0974896672109593,0.170606917619179
"Concentration","Total phosphorus","Growing season","Perennial crop fraction",352,0.186189426565875,0.000445497900609387,0.00311848530426571
"Concentration","Total phosphorus","Growing season","Tillage passes",331,0.163952210245585,0.00277305813851149,0.00647046898986015
"Concentration","Total phosphorus","Growing season","Frozen soil",354,,,
"Concentration","Total phosphorus","Post-growing season","Runoff depth",89,-0.0367904933893671,0.732132503129234,0.732132503129234
"Concentration","Total phosphorus","Post-growing season","Precipitation depth",89,-0.162181605052765,0.128898205855908,0.257796411711816
"Concentration","Total phosphorus","Post-growing season","Maximum 30-minute intensity",86,-0.230615316932573,0.0326607893150095,0.130643157260038
"Concentration","Total phosphorus","Post-growing season","Seven-day antecedent precipitation",89,-0.147166265096722,0.168746321260927,0.269994114017483
"Concentration","Total phosphorus","Post-growing season","Mean slope",89,0.275030248760176,0.00909504484136595,0.0727603587309276
"Concentration","Total phosphorus","Post-growing season","Perennial crop fraction",86,-0.13831828554725,0.204064759750283,0.272086346333711
"Concentration","Total phosphorus","Post-growing season","Tillage passes",67,0.049145777439006,0.692884275721464,0.732132503129234
"Concentration","Total phosphorus","Post-growing season","Frozen soil",89,0.190211154289642,0.0741932951832969,0.197848787155458
"Load","Suspended sediment","Pre-growing season","Runoff depth",607,-0.109203404797988,0.00708129348803697,0.0566503479042957
"Load","Suspended sediment","Pre-growing season","Precipitation depth",607,0.00896393669353542,0.825561960074178,0.93005090498126
"Load","Suspended sediment","Pre-growing season","Maximum 30-minute intensity",422,0.0810017363435875,0.0965558063983558,0.386223225593423
"Load","Suspended sediment","Pre-growing season","Seven-day antecedent precipitation",607,0.00883657833177487,0.828001415192537,0.93005090498126
"Load","Suspended sediment","Pre-growing season","Mean slope",607,0.00357026030580972,0.93005090498126,0.93005090498126
"Load","Suspended sediment","Pre-growing season","Perennial crop fraction",602,0.0306577631501517,0.452759530616738,0.905519061233476
